L 362.0000, -1096.0000, -290.0000,  362.0000, -1097.0000, -290.0000,  150, 150, 150
L 3377.0000, 2129.0000, -113.0000,  2828.0000, 2130.0000, -211.0000,  205, 133, 63
L 2828.0000, 2130.0000, -211.0000,  2827.0000, 2030.0000, -204.0000,  205, 133, 63
L 2827.0000, 2030.0000, -204.0000,  2196.0000, 2031.0000, -210.0000,  205, 133, 63
L 2196.0000, 2031.0000, -210.0000,  2026.0000, 1860.0000, -173.0000,  205, 133, 63
L 2026.0000, 1860.0000, -173.0000,  2021.0000, 1699.0000, -187.0000,  205, 133, 63
L 2021.0000, 1699.0000, -187.0000,  1962.0000, 1633.0000, -189.0000,  205, 133, 63
L 1962.0000, 1633.0000, -189.0000,  1796.0000, 1633.0000, -191.0000,  205, 133, 63
L 1796.0000, 1633.0000, -191.0000,  1653.0000, 1484.0000, -193.0000,  205, 133, 63
L 1653.0000, 1484.0000, -193.0000,  1447.0000, 1484.0000, -185.0000,  205, 133, 63
L 1447.0000, 1484.0000, -185.0000,  1328.0000, 1604.0000, -183.0000,  205, 133, 63
L 1328.0000, 1604.0000, -183.0000,  1327.0000, 1768.0000, -183.0000,  205, 133, 63
L 1327.0000, 1768.0000, -183.0000,  1232.0000, 1851.0000, -183.0000,  205, 133, 63
L 1232.0000, 1851.0000, -183.0000,  1232.0000, 2082.0000, -169.0000,  205, 133, 63
L 1232.0000, 2082.0000, -169.0000,  995.0000, 2082.0000, -176.0000,  205, 133, 63
L 995.0000, 2082.0000, -176.0000,  927.0000, 2000.0000, -176.0000,  205, 133, 63
L 927.0000, 2000.0000, -176.0000,  926.0000, 1752.0000, -169.0000,  205, 133, 63
L 926.0000, 1752.0000, -169.0000,  848.0000, 1685.0000, -170.0000,  205, 133, 63
L 848.0000, 1685.0000, -170.0000,  438.0000, 1684.0000, -211.0000,  205, 133, 63
L 438.0000, 1684.0000, -211.0000,  436.0000, 1774.0000, -218.0000,  205, 133, 63
L 436.0000, 1774.0000, -218.0000,  373.0000, 1779.0000, -222.0000,  205, 133, 63
L 1076.0000, 2082.0000, -175.0000,  1078.0000, 2268.0000, -183.0000,  205, 133, 63
L 1078.0000, 2268.0000, -183.0000,  997.0000, 2330.0000, -183.0000,  205, 133, 63
L 997.0000, 2330.0000, -183.0000,  634.0000, 2332.0000, -224.0000,  205, 133, 63
L 634.0000, 2332.0000, -224.0000,  605.0000, 2377.0000, -225.0000,  205, 133, 63
L 605.0000, 2377.0000, -225.0000,  532.0000, 2392.0000, -232.0000,  205, 133, 63
L 532.0000, 2392.0000, -232.0000,  454.0000, 2478.0000, -232.0000,  205, 133, 63
L 454.0000, 2478.0000, -232.0000,  52.0000, 2478.0000, -240.0000,  205, 133, 63
L 52.0000, 2478.0000, -240.0000,  -18.0000, 2412.0000, -240.0000,  205, 133, 63
L -18.0000, 2412.0000, -240.0000,  -26.0000, 2341.0000, -240.0000,  205, 133, 63
L -26.0000, 2341.0000, -240.0000,  -70.0000, 2318.0000, -240.0000,  205, 133, 63
L -70.0000, 2318.0000, -240.0000,  -77.0000, 2249.0000, -246.0000,  205, 133, 63
L -77.0000, 2249.0000, -246.0000,  -137.0000, 2182.0000, -245.0000,  205, 133, 63
L -137.0000, 2182.0000, -245.0000,  -415.0000, 2183.0000, -207.0000,  205, 133, 63
L 2275.0000, 1709.0000, -239.0000,  2276.0000, 2031.0000, -225.0000,  205, 133, 63
L 2275.0000, 1709.0000, -239.0000,  2379.0000, 1602.0000, -239.0000,  205, 133, 63
L 2379.0000, 1602.0000, -239.0000,  2378.0000, 1400.0000, -218.0000,  205, 133, 63
L 2378.0000, 1400.0000, -218.0000,  2281.0000, 1308.0000, -218.0000,  205, 133, 63
L 2281.0000, 1308.0000, -218.0000,  2280.0000, 1150.0000, -232.0000,  205, 133, 63
L 2276.0000, 1155.0000, -233.0000,  2181.0000, 1063.0000, -233.0000,  205, 133, 63
L 2181.0000, 1063.0000, -233.0000,  2181.0000, 947.0000, -204.0000,  205, 133, 63
L 2181.0000, 947.0000, -204.0000,  2277.0000, 850.0000, -204.0000,  205, 133, 63
L 2277.0000, 850.0000, -204.0000,  2278.0000, 254.0000, -232.0000,  205, 133, 63
L 2278.0000, 254.0000, -232.0000,  2176.0000, 153.0000, -232.0000,  205, 133, 63
L 2176.0000, 153.0000, -232.0000,  2177.0000, -399.0000, -204.0000,  205, 133, 63
L 2177.0000, -399.0000, -204.0000,  2227.0000, -440.0000, -205.0000,  205, 133, 63
L 2227.0000, -440.0000, -205.0000,  2228.0000, -505.0000, -204.0000,  205, 133, 63
L 2228.0000, -505.0000, -204.0000,  2275.0000, -541.0000, -204.0000,  205, 133, 63
L 2275.0000, -541.0000, -204.0000,  2280.0000, -653.0000, -211.0000,  205, 133, 63
L 2280.0000, -653.0000, -211.0000,  2376.0000, -740.0000, -211.0000,  205, 133, 63
L 2376.0000, -740.0000, -211.0000,  2374.0000, -1406.0000, -260.0000,  205, 133, 63
L 2374.0000, -1406.0000, -260.0000,  2330.0000, -1428.0000, -260.0000,  205, 133, 63
L 2330.0000, -1428.0000, -260.0000,  2329.0000, -1602.0000, -281.0000,  205, 133, 63
L 2329.0000, -1602.0000, -281.0000,  2252.0000, -1668.0000, -282.0000,  205, 133, 63
L 2252.0000, -1668.0000, -282.0000,  2092.0000, -1668.0000, -288.0000,  205, 133, 63
L 2092.0000, -1668.0000, -288.0000,  1977.0000, -1789.0000, -289.0000,  205, 133, 63
L 1977.0000, -1789.0000, -289.0000,  1977.0000, -1853.0000, -289.0000,  205, 133, 63
L 1977.0000, -1853.0000, -289.0000,  1927.0000, -1887.0000, -289.0000,  205, 133, 63
L 1927.0000, -1887.0000, -289.0000,  1928.0000, -1912.0000, -286.0000,  205, 133, 63
L 2890.0000, 2197.0000, -213.0000,  2907.0000, 2185.0000, -213.0000,  0, 0, 0
L 2907.0000, 2185.0000, -212.0000,  2924.0000, 2211.0000, -212.0000,  0, 0, 0
L 2924.0000, 2211.0000, -214.0000,  2882.0000, 2240.0000, -216.0000,  0, 0, 0
L 2882.0000, 2240.0000, -212.0000,  2864.0000, 2214.0000, -212.0000,  0, 0, 0
L 2864.0000, 2214.0000, -215.0000,  2882.0000, 2202.0000, -214.0000,  0, 0, 0
L 2890.0000, 2197.0000, -212.0000,  2893.0000, 2202.0000, -212.0000,  0, 0, 0
L 2882.0000, 2202.0000, -212.0000,  2885.0000, 2207.0000, -212.0000,  0, 0, 0
L 2885.0000, 2207.0000, -212.0000,  2873.0000, 2215.0000, -212.0000,  0, 0, 0
L 2873.0000, 2215.0000, -212.0000,  2884.0000, 2231.0000, -212.0000,  0, 0, 0
